Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
70,34,0,4,,6,200,2ND DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OTTAWA,ZEELAND TOWNSHIP,1.39893E+12,,,,,,,,,,,
74,56,0,4,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ST. CLAIR,MARYSVILLE CITY,1.47521E+12,,,,,,,,,,,
81,52,1,11,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,ANN ARBOR CITY,1.6103E+12,,,,,,,,,,,
81,52,1,12,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,ANN ARBOR CITY,1.6103E+12,,,,,,,,,,,
81,52,3,10,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,ANN ARBOR CITY,1.6103E+12,,,,,,,,,,,
81,52,5,12,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,ANN ARBOR CITY,1.6103E+12,,,,,,,,,,,
81,55,0,3,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,DEXTER CITY,1.61222E+12,,,,,,,,,,,
81,12,0,2,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,LIMA TOWNSHIP,1.61475E+12,,,,,,,,,,,
81,22,0,11,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,PITTSFIELD TOWNSHIP,1.61646E+12,,,,,,,,,,,
81,22,0,12,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,PITTSFIELD TOWNSHIP,1.61646E+12,,,,,,,,,,,
81,22,0,13,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,PITTSFIELD TOWNSHIP,1.61646E+12,,,,,,,,,,,
81,28,0,1,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WASHTENAW,SCIO TOWNSHIP,1.61719E+12,,,,,,,,,,,
82,2,0,12,,6,1200,12TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,BROWNSTOWN TOWNSHIP,1.63112E+12,,,,,,,,,,,
82,57,0,109,AVCB,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,251,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,252,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,253,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,254,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,261,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
